,Area,Archivo,Palabra,Frecuencia,TL
0,GAES,ciberseg,gestion,11,361
1,GAES,ciberseg,cibernetico,11,361
2,GAES,ciberseg,ciberseguridad,9,361
3,GAES,ciberseg,ciberresiliencia,9,361
4,GAES,ciberseg,existencia,8,361
5,GAES,ciberseg,ciberataque,7,361
6,GAES,ciberseg,continuidad,7,361
7,GAES,ciberseg,informacion,6,361
8,GAES,ciberseg,incidente,6,361
9,GAES,ciberseg,seguridad,6,361
10,GAES,ciberseg,sistema,5,361
11,GAES,ciberseg,entidad,4,361
12,GAES,ciberseg,vinculado,4,361
13,GAES,ciberseg,identificacion,4,361
14,GAES,ciberseg,relacionado,4,361
15,GAES,ciberseg,organizacion,4,361
16,GAES,ciberseg,poder,4,361
17,GAES,ciberseg,servicio,4,361
18,GAES,ciberseg,evento,4,361
19,GAES,ciberseg,afectar,4,361
0,GAES,continuidad,negocio,45,1593
1,GAES,continuidad,continuidad,36,1593
2,GAES,continuidad,plan,29,1593
3,GAES,continuidad,entidad,28,1593
4,GAES,continuidad,servicio,23,1593
5,GAES,continuidad,recuperacion,21,1593
6,GAES,continuidad,proceso,21,1593
7,GAES,continuidad,personal,20,1593
8,GAES,continuidad,gestion,19,1593
9,GAES,continuidad,parte,18,1593
10,GAES,continuidad,critico,16,1593
11,GAES,continuidad,analisis,15,1593
12,GAES,continuidad,impacto,15,1593
13,GAES,continuidad,operacion,14,1593
14,GAES,continuidad,escenario,14,1593
15,GAES,continuidad,estrategia,14,1593
16,GAES,continuidad,capacidad,13,1593
17,GAES,continuidad,tercero,13,1593
18,GAES,continuidad,prueba,13,1593
19,GAES,continuidad,programa,12,1593
0,GAES,gestionIt,gestion,35,1353
1,GAES,gestionIt,tecnologia,30,1353
2,GAES,gestionIt,informatico,28,1353
3,GAES,gestionIt,permitir,23,1353
4,GAES,gestionIt,actividad,21,1353
5,GAES,gestionIt,servicio,20,1353
6,GAES,gestionIt,proceso,19,1353
7,GAES,gestionIt,existencia,19,1353
8,GAES,gestionIt,dato,19,1353
9,GAES,gestionIt,riesgo,17,1353
10,GAES,gestionIt,entidad,16,1353
11,GAES,gestionIt,funcion,16,1353
12,GAES,gestionIt,acuerdo,14,1353
13,GAES,gestionIt,estrategia,13,1353
14,GAES,gestionIt,negocio,13,1353
15,GAES,gestionIt,parte,13,1353
16,GAES,gestionIt,incluir,12,1353
17,GAES,gestionIt,mecanismo,12,1353
18,GAES,gestionIt,arquitectura,12,1353
19,GAES,gestionIt,implementacion,11,1353
0,GAES,idDigital,identificacion,7,259
1,GAES,idDigital,caracteristico,7,259
2,GAES,idDigital,persona,6,259
3,GAES,idDigital,digital,5,259
4,GAES,idDigital,ser,5,259
5,GAES,idDigital,proceso,5,259
6,GAES,idDigital,entidad,4,259
7,GAES,idDigital,control,4,259
8,GAES,idDigital,informacion,4,259
9,GAES,idDigital,registro,4,259
10,GAES,idDigital,aplicacion,4,259
11,GAES,idDigital,deberan,4,259
12,GAES,idDigital,financiero,3,259
13,GAES,idDigital,implementacion,3,259
14,GAES,idDigital,riesgo,3,259
15,GAES,idDigital,existencia,3,259
16,GAES,idDigital,tecnologia,3,259
17,GAES,idDigital,usuaria,3,259
18,GAES,idDigital,servicio,3,259
19,GAES,idDigital,actividad,3,259
0,GAES,imfs,sistema,19,780
1,GAES,imfs,riesgo,15,780
2,GAES,imfs,informacion,14,780
3,GAES,imfs,servicio,13,780
4,GAES,imfs,tecnologia,11,780
5,GAES,imfs,existencia,11,780
6,GAES,imfs,definicion,11,780
7,GAES,imfs,vinculado,10,780
8,GAES,imfs,camara,9,780
9,GAES,imfs,implementacion,9,780
10,GAES,imfs,control,9,780
11,GAES,imfs,incluir,9,780
12,GAES,imfs,seguridad,9,780
13,GAES,imfs,gestion,9,780
14,GAES,imfs,infraestructura,7,780
15,GAES,imfs,financiero,7,780
16,GAES,imfs,marco,7,780
17,GAES,imfs,informatico,7,780
18,GAES,imfs,procedimiento,6,780
19,GAES,imfs,poder,6,780
0,GAES,Dlp,informacion,18,328
1,GAES,Dlp,dato,13,328
2,GAES,Dlp,existencia,9,328
3,GAES,Dlp,control,7,328
4,GAES,Dlp,aspecto,6,328
5,GAES,Dlp,definicion,6,328
6,GAES,Dlp,prevencion,5,328
7,GAES,Dlp,perdida,5,328
8,GAES,Dlp,persona,5,328
9,GAES,Dlp,usuaria,5,328
10,GAES,Dlp,clasificacion,5,328
11,GAES,Dlp,mecanismo,5,328
12,GAES,Dlp,proceso,4,328
13,GAES,Dlp,procedimiento,4,328
14,GAES,Dlp,permitir,4,328
15,GAES,Dlp,servicio,4,328
16,GAES,Dlp,seguridad,4,328
17,GAES,Dlp,transito,4,328
18,GAES,Dlp,supervision,3,328
19,GAES,Dlp,dlp,3,328
